user_idx,user_id
1035,488311
1036,767399
1037,523338
1038,470753
1039,561826
1040,581814
1041,591699
1042,615339
1043,643905
1044,521658
1045,512801
1046,626718
1047,598261
1048,501414
1049,750010
1050,801977
1051,770470
1052,221630
1053,860302
1054,677411
1055,525938
1056,758549
1057,473115
1058,458284
1059,761256
1060,842268
1061,581829
1062,869101
1063,570850
1064,863310
1065,773957
1066,616347
1067,582982
1068,588697
1069,436805
1070,799560
1071,467740
1072,616640
1073,658987
1074,511196
1075,721538
1076,502880
1077,465609
1078,479920
1079,491490
1080,474700
1081,570861
1082,695091
1083,570860
1084,561862
1085,744313
1086,495101
1087,838031
1088,481543
1089,598275
1090,454452
1091,920869
1092,793245
1093,717853
1094,556196
1095,754588
1096,781070
1097,524986
1098,663122
1099,847441
1100,493402
1101,500402
1102,686461
1103,788073
1104,707654
1105,435407
1106,663349
1107,450980
1108,645063
1109,807075
1110,646773
1111,442636
1112,611498
1113,489310
1114,786039
1115,699536
1116,662678
1117,465652
1118,565984
1119,464266
1120,696900
1121,519955
1122,440129
1123,866408
1124,633439
1125,469143
1126,513959
1127,602851
1128,448646
1129,534987
1130,745948
1131,587688
1132,479507
1133,763983
1134,625277
1135,600619
1136,453445
1137,504271
1138,481584
1139,620954
1140,562569
1141,626742
1142,501463
1143,663016
1144,527835
1145,496266
1146,548009
1147,722267
1148,456596
1149,446201
1150,495538
1151,524187
1152,785553
1153,576828
1154,738726
1155,434028
1156,526029
1157,933036
1158,746921
1159,516907
1160,777785
1161,539019
1162,230037
1163,831507
1164,533325
1165,687797
1166,543588
1167,461195
1168,521731
1169,878675
1170,570079
1171,647257
1172,846866
1173,512165
1174,445100
1175,512159
1176,743698
1177,565387
1178,535773
1179,755713
1180,667170
1181,462261
1182,497184
1183,548033
1184,601656
1185,451078
1186,766867
1187,709635
1188,864326
1189,595879
1190,697486
1191,448695
1192,911600
1193,535784
1194,456632
1195,672333
1196,593651
1197,645479
1198,607381
1199,493458
1200,899248
1201,626770
1202,689955
1203,502966
